"Code","Year","Estimate","Low","High"
"MYT",2018,47,NA,NA
"ARG",2016,9,NA,NA
"COG",2020,103692,NA,NA
"PRK",2015,7409,NA,NA
"ARM",2015,2,NA,NA
"MDG",2019,984304,NA,NA
"BFA",2022,11958988,NA,NA
"WPR",2021,902732,NA,NA
"YEM",2021,244857,NA,NA
"GEO",2017,9,NA,NA
"TGO",2022,2222943,NA,NA
"CMR",2023,3015821,NA,NA
"EMR",2015,5424469,NA,NA
"GNB",2019,162635,NA,NA
"COD",2019,24124400,NA,NA
"NIC",2016,6284,NA,NA
"PRK",2023,3160,NA,NA
"VEN",2016,301466,NA,NA
"TUR",2015,224,NA,NA
"DJI",2016,13822,NA,NA
"ZWE",2021,133137,NA,NA
"NIC",2021,23323,NA,NA
"CPV",2018,21,NA,NA
"TCD",2019,1910518,NA,NA
"SDN",2020,3412499,NA,NA
"BFA",2021,12465543,NA,NA
"GUF",2018,546,NA,NA
"PAK",2022,1824844,NA,NA
"AFR",2021,174962186,NA,NA
"ERI",2023,102504,NA,NA
"SLB",2021,129758,NA,NA
"RWA",2021,1163670,NA,NA
"IND",2015,1169261,NA,NA
"ZAF",2020,8126,NA,NA
"COG",2017,297652,NA,NA
"GIN",2018,1246598,NA,NA
"MOZ",2019,11781516,NA,NA
"TLS",2021,0,NA,NA
"MDG",2020,1959962,NA,NA
"PRK",2022,2136,NA,NA
"SWZ",2019,589,NA,NA
"VEN",2021,194057,NA,NA
"BDI",2021,6618492,NA,NA
"MDG",2021,2365135,NA,NA
"CIV",2016,3754504,NA,NA
"NPL",2022,512,NA,NA
"KOR",2018,576,NA,NA
"TJK",2019,3,NA,NA
"IRN",2019,1190,NA,NA
"YEM",2019,216763,NA,NA
"BLZ",2018,7,NA,NA
"ARG",2022,10,NA,NA
"SLB",2017,68712,NA,NA
"PRK",2020,1819,NA,NA
"NGA",2023,26411359,NA,NA
"NPL",2019,710,NA,NA
"SLV",2020,0,NA,NA
"SDN",2015,1102186,NA,NA
"WPR",2020,1049905,NA,NA
"BGD",2016,27737,NA,NA
"GMB",2018,88654,NA,NA
"VUT",2015,845,NA,NA
"PNG",2015,620785,NA,NA
"MYS",2023,3629,NA,NA
"GAB",2017,157639,NA,NA
"AFR",2017,164222503,NA,NA
"MWI",2021,6863146,NA,NA
"ARM",2018,6,NA,NA
"CIV",2018,5189974,NA,NA
"KEN",2020,7285476,NA,NA
"HND",2017,1283,NA,NA
"LBR",2019,1041800,NA,NA
"VUT",2023,2261,NA,NA
"SWZ",2021,581,NA,NA
"GNQ",2017,15725,NA,NA
"ERI",2022,65853,NA,NA
"IDN",2015,217025,NA,NA
"GEO",2020,4,NA,NA
"IRN",2015,799,NA,NA
"NGA",2022,24968466,NA,NA
"GTM",2018,3021,NA,NA
"TJK",2023,9,NA,NA
"MMR",2020,58836,NA,NA
"SOM",2020,27333,NA,NA
"COD",2017,16888842,NA,NA
"PRK",2017,4626,NA,NA
"KOR",2023,747,NA,NA
"COG",2021,351136,NA,NA
"MOZ",2016,10373341,NA,NA
"MMR",2015,182465,NA,NA
"PNG",2016,785120,NA,NA
"LAO",2016,15509,NA,NA
"UGA",2020,17475040,NA,NA
"CRI",2015,8,NA,NA
"GHA",2015,11678306,NA,NA
"ERI",2018,48326,NA,NA
"STP",2019,2457,NA,NA
"BTN",2020,54,NA,NA
"PRY",2020,1,NA,NA
"KGZ",2015,1,NA,NA
"MYS",2020,2839,NA,NA
"GEO",2018,9,NA,NA
"DOM",2019,1314,NA,NA
"TCD",2023,2294100,NA,NA
"VNM",2015,19252,NA,NA
"KOR",2015,692,NA,NA
"KEN",2023,6819382,NA,NA
"SUR",2015,376,NA,NA
"SSD",2015,3789475,NA,NA
"CPV",2021,21,NA,NA
"UZB",2016,0,NA,NA
"TZA",2015,8406354,NA,NA
"PRY",2023,0,NA,NA
"HND",2020,913,NA,NA
"RWA",2020,2043392,NA,NA
"BWA",2018,585,NA,NA
"LKA",2018,52,NA,NA
"ARG",2018,28,NA,NA
"PRY",2019,2,NA,NA
"AFG",2023,180718,NA,NA
"AMR",2021,524015,NA,NA
"SLE",2022,1862886,NA,NA
"ETH",2022,1837213,NA,NA
"EUR",2020,144,NA,NA
"NIC",2017,10952,NA,NA
"ECU",2016,1424,NA,NA
"ERI",2019,93878,NA,NA
"TZA",2021,4632180,NA,NA
"COL",2019,82721,NA,NA
"CAF",2020,1980804,NA,NA
"NGA",2020,21580055,NA,NA
"ETH",2019,1015792,NA,NA
"GNQ",2018,10926,NA,NA
"SEN",2023,232465,NA,NA
"IND",2017,844558,NA,NA
"PER",2017,55367,NA,NA
"NAM",2021,13738,NA,NA
"DZA",2016,432,NA,NA
"SOM",2021,50648,NA,NA
"YEM",2022,201792,NA,NA
"ZAF",2023,9890,NA,NA
"BGD",2017,29247,NA,NA
"TLS",2015,80,NA,NA
"KEN",2017,8462076,NA,NA
"KGZ",2018,0,NA,NA
"GIN",2019,2172260,NA,NA
"HND",2022,3580,NA,NA
"PHL",2023,6248,NA,NA
"MMR",2016,110146,NA,NA
"TUR",2018,238,NA,NA
"DJI",2023,38944,NA,NA
"COM",2016,1734,NA,NA
"SSD",2019,4064662,NA,NA
"KOR",2022,428,NA,NA
"GIN",2015,895016,NA,NA
"AZE",2016,1,NA,NA
"NPL",2023,665,NA,NA
"PER",2023,22625,NA,NA
"NIC",2022,16158,NA,NA
"AFR",2016,160847369,NA,NA
"TGO",2015,1610711,NA,NA
"UZB",2019,1,NA,NA
"UZB",2017,0,NA,NA
"AZE",2015,1,NA,NA
"GUY",2019,18826,NA,NA
"STP",2022,3979,NA,NA
"MWI",2020,7108848,NA,NA
"UGA",2016,14008604,NA,NA
"STP",2021,2730,NA,NA
"YEM",2018,233143,NA,NA
"TCD",2018,1364706,NA,NA
"TGO",2021,1845368,NA,NA
"PRY",2018,0,NA,NA
"SWZ",2022,369,NA,NA
"AFR",2018,157996297,NA,NA
"TZA",2017,5988136,NA,NA
"EMR",2017,4469285,NA,NA
"GTM",2019,2072,NA,NA
"HTI",2016,21430,NA,NA
"BLZ",2020,0,NA,NA
"DJI",2022,40648,NA,NA
"VUT",2021,322,NA,NA
"YEM",2020,202671,NA,NA
"LAO",2017,8435,NA,NA
"GTM",2022,1856,NA,NA
"BOL",2017,4587,NA,NA
"CMR",2015,2381592,NA,NA
"BOL",2020,12187,NA,NA
"BWA",2020,953,NA,NA
