"Code","Year","Estimate","Low","High"
"VNM",2019,0.04468,0.04468,0.04468
"LAO",2015,17.65654,12.78161,23.26187
"COD",2006,466.38878,377.74977,570.59524
"BEN",2013,361.95335,274.17699,467.87083
"MEX",2007,1.02384,1.02384,1.02384
"ECU",2002,11.65216,11.65216,11.65216
"HTI",2014,3.57361,2.38075,4.83186
"NAM",2015,7.98684,6.31752,9.77609
"DOM",2009,0.39604,0.32395,0.47263
"BLZ",2021,0,0,0
"BEN",2023,363.39584,228.50241,547.25646
"PER",2015,7.26402,5.93294,8.67962
"SEAR",2013,8.41777,6.65243,11.05279
"ARE",2018,0,0,0
"CMR",2001,422.88025,334.76235,527.94302
"CIV",2021,274.16813,205.90845,356.78163
"MLI",2016,374.38802,263.82355,531.46307
"EMR",2016,10.76441,8.45863,13.95343
"SLV",2015,0.00398,0.00398,0.00398
"COM",2019,22.37413,NA,NA
"ARM",2014,0,0,0
"AZE",2016,0,0,0
"GTM",2005,4.73153,4.19751,5.55723
"UZB",2009,0,0,0
"GAB",2000,329.74932,218.78134,480.20237
"NGA",2000,401.7884,312.40775,508.79933
"GHA",2011,377.22827,310.46378,454.90199
"DOM",2001,0.27377,0.22693,0.32311
"TUR",2008,0.03569,0.03569,0.03569
"BFA",2007,519.26783,409.3066,648.87235
"GIN",2004,361.63692,245.87069,512.30659
"DZA",2005,0.00051,0.00051,0.00051
"BTN",2009,2.05822,2.05822,2.05822
"IRN",2004,19.26766,19.26766,19.26766
"ERI",2016,27.7022,14.82882,44.05071
"MYS",2001,13.58042,13.58042,13.58042
"IDN",2003,5.28388,4.3672,6.48925
"AZE",2009,0.37488,0.37488,0.37488
"PER",2016,6.00802,4.93024,7.18042
"MAR",2010,0,0,0
"GMB",2021,62.48348,48.68382,78.08861
"ARM",2013,0,0,0
"MAR",2006,0,0,0
"MMR",2016,3.6115,2.91912,4.35035
"VUT",2014,9.91012,7.27399,13.7758
"BGD",2006,4.3439,2.59934,6.57525
"GTM",2023,0.22262,0.22262,0.22262
"SLB",2018,125.88443,105.99141,150.69611
"HND",2017,0.20115,0.15544,0.24848
"SEN",2020,42.99301,33.47838,53.92177
"THA",2010,2.49584,NA,NA
"GUF",2019,1.56963,1.39241,1.81647
"BFA",2005,528.51945,417.66701,660.60845
