"Code","Year","Estimate","Low","High"
"NPL",2021,0.01168,0.01168,0.01168
"ZAF",2012,1.33872,NA,NA
"BEN",2008,128.28784,119.92242,137.19534
"DZA",2016,0,0,0
"PRK",2022,0,0,0
"MAR",2019,0,0,0
"GTM",2011,0,0,0
"KAZ",2018,0,0,0
"MOZ",2015,82.36535,68.73322,101.61014
"NPL",2006,0.5444,0.5444,0.5444
"SSD",2004,123.97275,108.30852,141.37899
"AZE",2017,0,0,0
"EUR",2013,0,0,0
"SWZ",2023,2.03169,NA,NA
"BDI",2012,49.94525,46.06283,54.57239
"CHN",2016,0,0,0
"PHL",2018,0.03935,0.01574,0.0724
"YEM",2018,10.50203,4.2072,20.39806
"SDN",2014,9.00747,3.87905,15.77931
"SSD",2013,61.16632,44.75956,82.54342
"GTM",2006,0.01982,0.01982,0.01982
"VEN",2005,0.25387,0.12693,0.38827
"BGD",2010,1.01202,0.45724,1.63996
"GIN",2003,137.39489,129.46972,146.0638
"EGY",2007,0,0,0
"BFA",2008,236.36637,217.70742,256.43441
"SYR",2006,0,0,0
"TZA",2005,70.11369,67.25007,73.07933
"KHM",2014,3.64282,1.80772,5.7338
"ETH",2015,30.23518,6.54247,74.33061
"ARG",2013,0,0,0
"COD",2023,63.77179,40.82341,103.80533
"MMR",2020,0.1667,0.08443,0.26412
"GTM",2017,0,0,0
"TGO",2008,75.80692,71.17497,80.89421
"CRI",2004,0,0,0
"EMR",2016,1.90575,1.15479,2.94507
"EUR",2000,0,0,0
"GUF",2008,1.5988,1.5988,1.5988
"YEM",2019,9.80126,4.02217,18.78391
"CAF",2009,162.19751,145.96893,179.8392
"HTI",2000,2.48039,0.91666,5.01469
"UGA",2009,86.47378,81.79669,91.35119
"SEN",2012,13.57575,5.51445,24.43223
"UZB",2002,0,0,0
"ETH",2001,46.21,10.59798,104.38439
"AZE",2015,0,0,0
"TZA",2016,43.38956,41.8252,45.21778
"MRT",2022,12.28557,3.77387,26.74574
"TLS",2006,35.49273,14.80678,63.69094
"ZAF",2023,1.01246,NA,NA
"MAR",2015,0,0,0
"RWA",2014,26.03663,25.18312,27.04853
"GMB",2018,25.00383,23.83699,26.37904
"NER",2022,137.49225,113.21905,168.72262
"BRA",2016,0.08484,0.08484,0.08484
"PHL",2023,0.04949,0.021,0.09148
"EMR",2020,2.38348,1.33345,4.0398
"BOL",2016,0.03943,0,0.09858
"AMR",2000,0.72134,0.63005,0.94805
"IRN",2009,0,0,0
"ETH",2023,21.21692,7.77162,41.02258
"ARM",2008,0,0,0
"SEAR",2009,2.51808,1.3263,4.19368
"GLOBAL",2019,13.7263,12.75832,15.70329
"COL",2001,1.91099,1.91099,1.91099
"PAN",2014,0,0,0
"AFR",2018,57.76828,53.84663,65.35761
"KHM",2005,7.37413,3.55632,11.72539
"CPV",2005,1.58567,1.58567,1.58567
"GIN",2020,83.14896,69.11131,101.94311
"LAO",2018,0.62012,0.26962,1.13239
"TUR",2007,0,0,0
"SLB",2015,9.00445,4.42324,14.53351
"KOR",2005,0,0,0
"VNM",2012,0.05002,0.02425,0.07731
"UZB",2009,0,0,0
"GIN",2000,173.2506,163.48649,183.9401
"PHL",2012,0.0602,0.0258,0.10664
"PAN",2021,0,0,0
"ARG",2008,0,0,0
"GIN",2002,149.08812,140.59152,158.39171
"IND",2011,2.18195,1.02953,3.73519
"ARE",2017,0,0,0
"MEX",2012,0,0,0
"NAM",2020,1.61592,NA,NA
"ZWE",2012,13.93308,5.59713,25.29324
"HND",2019,0,0,0
"AFG",2023,0.63113,0.27495,1.06237
"UZB",2010,0,0,0
"MEX",2015,0,0,0
"PRY",2009,0,0,0
"BRA",2020,0.1204,0.1204,0.1204
"NIC",2022,0,0,0
"EGY",2013,0,0,0
"EUR",2003,0,0,0
"SEN",2015,17.21334,7.03061,31.3914
"BLZ",2011,0,0,0
"SEN",2011,12.36216,5.06988,22.20116
"MOZ",2020,72.42472,45.1667,121.07394
"NER",2002,166.4002,156.01891,177.73702
"STP",2019,0,0,0
"IRN",2005,0.13636,0.13636,0.13636
"AFG",2003,4.54657,2.09666,8.21573
"IRQ",2010,0,0,0
"PHL",2001,0.92921,0.92921,0.92921
"HND",2014,0.02436,0.02436,0.02436
"SYR",2007,0,0,0
"IRQ",2021,0,0,0
"MDG",2008,7.3887,2.58079,15.57088
"MYS",2023,0,0,0
"DJI",2008,0.74685,0.29874,1.34433
"HTI",2018,0.40841,0.16337,0.76578
"BTN",2016,0,0,0
"GNB",2007,54.99712,51.55119,58.92549
"AGO",2022,56.92713,36.5789,94.53086
"ETH",2011,26.37272,8.73978,67.94574
"GIN",2007,102.84322,96.61281,109.54971
"VNM",2014,0.03404,0.01628,0.05328
"HND",2021,0,0,0
"COD",2003,186.91683,170.21936,205.54942
"TJK",2004,0,0,0
"SUR",2012,0,0,0
"CIV",2006,138.59578,129.52867,148.56813
"HND",2020,0,0,0
"ECU",2004,0.47977,0.47977,0.47977
"PRY",2000,0,0,0
"SAU",2010,0,0,0
"BLZ",2010,0,0,0
"PAN",2001,0.04862,0.04862,0.04862
"GAB",2006,17.23753,16.50825,18.232
"SLV",2009,0,0,0
"SOM",2008,15.19324,6.62775,26.62268
"HND",2001,0,0,0
"ZMB",2007,50.91888,49.18391,52.7971
"LAO",2008,3.25048,1.31269,6.09465
"WPR",2013,0.54479,0.24876,0.99601
"MMR",2018,0.36011,0.17347,0.58407
"CIV",2008,141.66301,131.98567,152.17235
"TCD",2001,91.68878,86.36017,97.5112
"SEAR",2010,2.5139,1.40827,4.02556
"CAF",2015,93.64226,81.84787,107.20797
"BDI",2011,48.88877,45.52387,52.78876
"KHM",2016,1.80892,0.87786,2.83752
"IDN",2000,0.71733,0.34108,1.21485
"AMR",2008,0.34784,0.23962,0.52549
"STP",2010,7.70069,NA,NA
"SOM",2012,8.74718,3.65937,15.65705
"GUF",2016,0,0,0
